"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"SubstanceSpecification","SubstanceSpecification","","","",0,*,"","","","null {[]} {[]}
"SubstanceSpecification.property.code","SubstanceSpecification.property.code","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Property type e.g. viscosity, pH, isoelectric point","Property type e.g. viscosity, pH, isoelectric point.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.property.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.property.parameters","SubstanceSpecification.property.parameters","","","",0,1,"","","Y","string {[]} {[]}
","Parameters that were used in the measurement of a property (e.g. for viscosity: measured at 20C with a pH of 7.1)","Parameters that were used in the measurement of a property (e.g. for viscosity: measured at 20C with a pH of 7.1).","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.property.parameters",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.property.definingSubstance[x]","SubstanceSpecification.property.definingSubstance[x]","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SubstanceSpecification|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/Substance|4.0.1]]}
CodeableConcept {[]} {[]}","A substance upon which a defining property depends (e.g. for solubility: in water, in alcohol)","A substance upon which a defining property depends (e.g. for solubility: in water, in alcohol).","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.property.definingSubstance[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.property.amount[x]","SubstanceSpecification.property.amount[x]","","","",0,1,"","","Y","Quantity {[]} {[]}
string {[]} {[]}","Quantitative value for this property","Quantitative value for this property.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.property.amount[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.referenceInformation","SubstanceSpecification.referenceInformation","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SubstanceReferenceInformation|4.0.1]]}
","General information detailing this substance","General information detailing this substance.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.referenceInformation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure","SubstanceSpecification.structure","","","",0,1,"","","Y","BackboneElement {[]} {[]}
","Structural information","Structural information.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.id","SubstanceSpecification.structure.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SubstanceSpecification.structure.extension","SubstanceSpecification.structure.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SubstanceSpecification.structure.extension:structure","SubstanceSpecification.structure.extension","structure","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-SubstanceDefinition.structure]]} {[]}
","Cross-version extension for SubstanceDefinition.structure from R5 for use in FHIR R4","Structural information.","Element `SubstanceDefinition.structure` has is mapped to FHIR R4 element `SubstanceSpecification.structure`, but has no comparisons.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SubstanceSpecification.structure.modifierExtension","SubstanceSpecification.structure.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SubstanceSpecification.structure.stereochemistry","SubstanceSpecification.structure.stereochemistry","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Stereochemistry type","Stereochemistry type.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.stereochemistry",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.opticalActivity","SubstanceSpecification.structure.opticalActivity","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Optical activity type","Optical activity type.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.opticalActivity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.molecularFormula","SubstanceSpecification.structure.molecularFormula","","","",0,1,"","","Y","string {[]} {[]}
","Molecular formula","Molecular formula.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.molecularFormula",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.molecularFormulaByMoiety","SubstanceSpecification.structure.molecularFormulaByMoiety","","","",0,1,"","","Y","string {[]} {[]}
","Specified per moiety according to the Hill system, i.e. first C, then H, then alphabetical, each moiety separated by a dot","Specified per moiety according to the Hill system, i.e. first C, then H, then alphabetical, each moiety separated by a dot.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.molecularFormulaByMoiety",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.isotope","SubstanceSpecification.structure.isotope","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Applicable for single substances that contain a radionuclide or a non-natural isotopic ratio","Applicable for single substances that contain a radionuclide or a non-natural isotopic ratio.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.isotope",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.isotope.id","SubstanceSpecification.structure.isotope.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SubstanceSpecification.structure.isotope.extension","SubstanceSpecification.structure.isotope.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SubstanceSpecification.structure.isotope.modifierExtension","SubstanceSpecification.structure.isotope.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SubstanceSpecification.structure.isotope.identifier","SubstanceSpecification.structure.isotope.identifier","","","",0,1,"","","Y","Identifier {[]} {[]}
","Substance identifier for each non-natural or radioisotope","Substance identifier for each non-natural or radioisotope.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.isotope.identifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.isotope.name","SubstanceSpecification.structure.isotope.name","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Substance name for each non-natural or radioisotope","Substance name for each non-natural or radioisotope.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.isotope.name",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.isotope.substitution","SubstanceSpecification.structure.isotope.substitution","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The type of isotopic substitution present in a single substance","The type of isotopic substitution present in a single substance.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.isotope.substitution",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.isotope.halfLife","SubstanceSpecification.structure.isotope.halfLife","","","",0,1,"","","Y","Quantity {[]} {[]}
","Half life - for a non-natural nuclide","Half life - for a non-natural nuclide.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.isotope.halfLife",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.isotope.molecularWeight","SubstanceSpecification.structure.isotope.molecularWeight","","","",0,1,"","","Y","BackboneElement {[]} {[]}
","The molecular weight or weight range (for proteins, polymers or nucleic acids)","The molecular weight or weight range (for proteins, polymers or nucleic acids).","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.isotope.molecularWeight",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.isotope.molecularWeight.id","SubstanceSpecification.structure.isotope.molecularWeight.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SubstanceSpecification.structure.isotope.molecularWeight.extension","SubstanceSpecification.structure.isotope.molecularWeight.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SubstanceSpecification.structure.isotope.molecularWeight.modifierExtension","SubstanceSpecification.structure.isotope.molecularWeight.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SubstanceSpecification.structure.isotope.molecularWeight.method","SubstanceSpecification.structure.isotope.molecularWeight.method","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The method by which the molecular weight was determined","The method by which the molecular weight was determined.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.isotope.molecularWeight.method",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.isotope.molecularWeight.type","SubstanceSpecification.structure.isotope.molecularWeight.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Type of molecular weight such as exact, average (also known as. number average), weight average","Type of molecular weight such as exact, average (also known as. number average), weight average.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.isotope.molecularWeight.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.isotope.molecularWeight.amount","SubstanceSpecification.structure.isotope.molecularWeight.amount","","","",0,1,"","","Y","Quantity {[]} {[]}
","Used to capture quantitative values for a variety of elements. If only limits are given, the arithmetic mean would be the average. If only a single definite value for a given element is given, it would be captured in this field","Used to capture quantitative values for a variety of elements. If only limits are given, the arithmetic mean would be the average. If only a single definite value for a given element is given, it would be captured in this field.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.isotope.molecularWeight.amount",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.molecularWeight","SubstanceSpecification.structure.molecularWeight","","","",0,1,"","","Y","null {[]} {[]}
","The molecular weight or weight range (for proteins, polymers or nucleic acids)","The molecular weight or weight range (for proteins, polymers or nucleic acids).","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.molecularWeight",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.source","SubstanceSpecification.structure.source","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference|4.0.1]]}
","Supporting literature","Supporting literature.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.source",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.representation","SubstanceSpecification.structure.representation","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Molecular structural representation","Molecular structural representation.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.representation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.representation.id","SubstanceSpecification.structure.representation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SubstanceSpecification.structure.representation.extension","SubstanceSpecification.structure.representation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SubstanceSpecification.structure.representation.modifierExtension","SubstanceSpecification.structure.representation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SubstanceSpecification.structure.representation.type","SubstanceSpecification.structure.representation.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The type of structure (e.g. Full, Partial, Representative)","The type of structure (e.g. Full, Partial, Representative).","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.representation.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.representation.representation","SubstanceSpecification.structure.representation.representation","","","",0,1,"","","Y","string {[]} {[]}
","The structural representation as text string in a format e.g. InChI, SMILES, MOLFILE, CDX","The structural representation as text string in a format e.g. InChI, SMILES, MOLFILE, CDX.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.representation.representation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.structure.representation.attachment","SubstanceSpecification.structure.representation.attachment","","","",0,1,"","","Y","Attachment {[]} {[]}
","An attached file with the structural representation","An attached file with the structural representation.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.structure.representation.attachment",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.code","SubstanceSpecification.code","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Codes associated with the substance","Codes associated with the substance.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.code",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.code.id","SubstanceSpecification.code.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SubstanceSpecification.code.extension","SubstanceSpecification.code.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SubstanceSpecification.code.extension:code","SubstanceSpecification.code.extension","code","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-SubstanceDefinition.code]]} {[]}
","Cross-version extension for SubstanceDefinition.code from R5 for use in FHIR R4","Codes associated with the substance.","Element `SubstanceDefinition.code` has is mapped to FHIR R4 element `SubstanceSpecification.code`, but has no comparisons.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SubstanceSpecification.code.modifierExtension","SubstanceSpecification.code.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SubstanceSpecification.code.code","SubstanceSpecification.code.code","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The specific code","The specific code.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.code.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.code.status","SubstanceSpecification.code.status","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Status of the code assignment","Status of the code assignment.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.code.status",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.code.statusDate","SubstanceSpecification.code.statusDate","","","",0,1,"","","Y","dateTime {[]} {[]}
","The date at which the code status is changed as part of the terminology maintenance","The date at which the code status is changed as part of the terminology maintenance.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.code.statusDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.code.comment","SubstanceSpecification.code.comment","","","",0,1,"","","Y","string {[]} {[]}
","Any comment can be provided in this field, if necessary","Any comment can be provided in this field, if necessary.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.code.comment",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.code.source","SubstanceSpecification.code.source","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference|4.0.1]]}
","Supporting literature","Supporting literature.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.code.source",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name","SubstanceSpecification.name","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Names applicable to this substance","Names applicable to this substance.","","","","","","","","","",,,,,"",,,,"SubstanceSpecification.name",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubstanceSpecification.name.id","SubstanceSpecification.name.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SubstanceSpecification.name.extension","SubstanceSpecification.name.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SubstanceSpecification.name.extension:name","SubstanceSpecification.name.extension","name","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/artifact-name]]} {[]}
","Cross-version extension for SubstanceDefinition.name from R5 for use in FHIR R4","A natural language name identifying the artifact. This name should be usable as an identifier for the module by machine processing applications such as code generation.","Note that there is an externally-defined extension that has been flagged as the representation of FHIR R5 element `SubstanceDefinition.name`: `http://hl7.org/fhir/StructureDefinition/artifact-name`.
Element `SubstanceDefinition.name` has is mapped to FHIR R4 element `SubstanceSpecification.name`, but has no comparisons.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
